ID,elevation,canton,municipality,Latitude,Longitude,Done,Author,Date,Priority,kontakt,commentar
MP7-GR-PE-16,2111,GR,Peist,46.8567784,9.699644046,,,,MP7,,
MP7-GR-PE-17,2158,GR,Peist,46.85765162,9.700992623,,,,MP7,,
MP7-GR-PE-18,2161,GR,Peist,46.85875601,9.699754308,,,,MP7,,
MP7-GR-PE-19,2172,GR,Peist,46.85950179,9.698446591,,,,MP7,,
MP7-GR-RH-10,1347,GR,Rhaezuens,46.781043,9.384777216,,,,MP7,,
MP7-GR-RH-8,724,GR,Rhaezuens,46.79037666,9.397201443,,,,MP7,,
MP7-GR-RH-9,1309,GR,Rhaezuens,46.77184385,9.392157135,,,,MP7,,
MP7-GR-SP-10,1469,GR,Spluegen,46.55824222,9.342770054,,,,MP7,,
MP7-GR-SP-11,1491,GR,Spluegen,46.5489339,9.307228415,,,,MP7,,
MP7-GR-SP-12,1531,GR,Spluegen,46.55297716,9.334758797,,,,MP7,,
MP7-GR-SP-13,1534,GR,Spluegen,46.54773318,9.325445657,,,,MP7,,
MP7-GR-SP-14,1541,GR,Spluegen,46.5584164,9.33234051,,,,MP7,,
MP7-GR-SP-15,1577,GR,Spluegen,46.54508031,9.321741689,,,,MP7,,
MP7-GR-SP-16,1590,GR,Spluegen,46.55237854,9.336735769,,,,MP7,,
MP7-GR-SP-9,1460,GR,Spluegen,46.55214302,9.330816648,,,,MP7,,
MP7-GR-TI-10,1355,GR,Tiefencastel,46.6664005,9.537422689,,,,MP7,,
